Issue,Subject,Company,status,product_area,request_type,response,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,account_access,product_issue,Claude support cannot restore workspace seats on behalf of non-admin users — only your workspace admin can manage seat assignments. Please contact your IT admin or workspace owner to reinstate your seat. We're escalating this for human follow-up.,Access restoration requires admin. Cannot act without identity verification. [semantic score: 0.87]
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,replied,screen,product_issue,"HackerRank does not review or alter individual assessment scores — scores are evaluated automatically based on criteria set by the employer and are final. HackerRank cannot contact recruiters on your behalf. If you believe there was a technical error on the platform, please provide specific details. For hiring decisions, contact the recruiting company directly.",Score modification is outside HackerRank support scope. Policy reply from corpus. [semantic score: 0.64]
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,dispute_resolution,product_issue,To dispute a Visa charge: Contact your card-issuing bank directly (number on the back of your card or your bank's app). Tell them you want to dispute a charge and provide the transaction details. Your bank will initiate a chargeback under Visa's dispute resolution rules. Note: Visa does not handle disputes directly with cardholders.,Disputes go through issuing bank. Corpus is explicit. [semantic score: 0.67] [hard escalation rule triggered]
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,billing,product_issue,We're sorry your mock interview was interrupted. Refund requests require review by our billing team who can access session logs and payment records. We're escalating to our billing team who will follow up with you shortly.,Mock interview refund involves billing. Escalation required. [semantic score: 0.77] [hard escalation rule triggered]
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing,product_issue,Payment and billing issues require review by our billing team. We're escalating your ticket. Please have your account email and order details ready. Order IDs starting with 'cs_live_' are Stripe-processed transactions.,Billing issues require human review. Escalation trigger per corpus. [semantic score: 0.47] [hard escalation rule triggered]
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,security_compliance,product_issue,"HackerRank does not fill out third-party vendor security questionnaires. Please visit trust.hackerrank.com to access security reports, certifications, and compliance documentation for your internal infosec process.",HackerRank policy: does not fill infosec forms. Directs to Trust Center. [semantic score: 0.46]
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,community,product_issue,The Apply tab is available on the HackerRank community platform (hackerrank.com). If you cannot see it: 1) Ensure you are logged in. 2) Complete your profile — some features require a complete profile. 3) Clear browser cache or try Chrome. 4) Verify the job listing is still active.,Missing UI feature. Self-service steps from corpus. [semantic score: 0.51]
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,screen,bug,"We're sorry you're experiencing issues with submissions across challenges. This may be a platform-wide issue requiring engineering investigation. We're escalating this immediately. In the meantime, try clearing your browser cache and switching to Chrome. We'll update you as soon as possible.",All submissions failing is a platform-wide bug. Escalation required. [semantic score: 0.67]
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,interviews,product_issue,"For Zoom connectivity issues in the compatibility check: 1) Ensure Zoom is installed and updated to the latest version. 2) Grant camera and microphone permissions in system settings. 3) Disable any VPN or firewall blocking Zoom. 4) Try a different network (e.g., mobile hotspot). If all other criteria pass and only Zoom fails, contact the recruiting company — the interview may still proceed depending on their setup.",Zoom troubleshooting. Corpus provides steps. [semantic score: 0.73]
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,replied,screen,product_issue,HackerRank support cannot directly reschedule a candidate's assessment. Please contact the recruiting company or HR team who sent you the HackerRank invitation — they can modify deadlines or re-invite you from their HackerRank for Work portal.,"Rescheduling must go through the recruiting company, not HackerRank. Corpus is explicit. [semantic score: 0.78]"
